,0
0,950267.0539419655
1,954344.7925779773
2,965713.167579303
3,976298.424385422
4,975297.6480712781
5,972940.7749849912
6,983904.3604696443
7,972774.1883897246
8,970926.5149579524
9,970860.798707077
10,962994.4432478491
11,967880.2718735931
12,985444.0815508212
13,994170.1122487466
14,1005456.4372775911
15,1022846.1095046765
16,1021988.2335399082
17,1006666.5178709934
18,1007729.0837354462
19,1014078.8115029851
20,1026593.0649606269
21,1021358.1800349804
22,1013357.8889382113
23,1031366.5845996905
24,1045568.086599515
25,1047107.3514564579
26,1047587.5964922203
27,1047324.1878595068
28,1027232.7968475049
29,1024746.1874659477
