,0
0,1008111.6387852377
1,1015185.3895040937
2,1018581.9657163408
3,1018124.7051923646
4,1016557.2794968588
5,1014653.9423963968
6,1009251.9519603188
7,1014040.3228253518
8,1010083.8264094101
9,1013990.7990839131
10,1015070.9123864517
11,1019691.5495906146
12,1025854.422232207
13,1024718.6195314572
14,1025597.5027845654
15,1027930.9887746441
16,1031513.492642683
17,1029476.8904620468
18,1026434.285162768
19,1026267.8300689462
20,1023644.7591919604
21,1025154.2680723277
22,1027737.4669613459
23,1023866.8045840684
24,1021717.7773472322
25,1023366.0072053787
26,1017953.1980063203
27,1014165.6964864535
28,1015500.8567240895
29,1015457.6574670196
