,0
0,-7790.162521806313
1,-4156.968199092895
2,8053.071004852885
3,-9193.17725894181
4,-10238.726487073116
5,5877.487792008324
6,15075.112036214443
7,4101.754734121496
8,26775.166109176585
9,1857.5898779071867
10,-19229.11751826573
11,-2892.3143889596686
12,1982.3356426400132
13,-5321.767696878174
14,1267.8110519612674
15,-7247.234687245451
16,4062.355780254351
17,-2567.342705785064
18,-1427.990378209157
19,1568.5846096228343
20,-1123.5096937969793
21,2461.014660610119
22,-6817.368192823837
23,-7869.220430080779
24,2753.1724412508775
25,3116.3948042865377
26,3710.0051404957194
27,1518.2716680169106
28,757.9355438891798
