,0
0,-10064.834330612095
1,-5724.985353080556
2,5413.919343584217
3,-12925.58464566106
4,-11381.046951970784
5,6008.685149514815
6,23154.403995427652
7,5169.637289984035
8,39850.3492530029
9,2366.4081149641424
10,-17083.874595617643
11,1272.5739993546158
12,939.6934858539607
13,-8481.933824159205
14,6354.161571098026
15,-10621.28360744426
16,6774.623187376419
17,-6999.680305609712
18,2810.3444733237848
19,2292.8874086074065
20,-6642.280606908025
21,4574.076545956079
22,-12932.074079876067
23,-12816.322588047478
24,2543.0785001121694
25,5456.651333077345
26,6711.964804652613
27,-5589.911129007698
28,3256.072595957201
