,0
0,1089963.8485039906
1,1083062.9449986287
2,1078905.9767995358
3,1086959.0478043887
4,1077765.8705454469
5,1067527.1440583738
6,1073404.631850382
7,1088479.7438865965
8,1092581.498620718
9,1119356.6647298946
10,1121214.2546078018
11,1101985.137089536
12,1099092.8227005764
13,1101075.1583432164
14,1095753.3906463382
15,1097021.2016982995
16,1089773.967011054
17,1093836.3227913084
18,1091268.9800855233
19,1089840.9897073142
20,1091409.574316937
21,1090286.06462314
22,1092747.0792837502
23,1085929.7110909263
24,1078060.4906608455
25,1080813.6631020964
26,1083930.057906383
27,1087640.0630468787
28,1089158.3347148956
29,1089916.2702587848
