,0
0,-58.20848184439819
1,-145.3592066174606
2,360.0395090954844
3,-638.4768006349914
4,-625.2684823042946
5,831.5368369800271
6,602.587956657866
7,-1944.8250384010607
8,31.67769673152361
9,3502.85097219795
10,-585.650532665546
11,2251.581290299422
12,1582.751420632936
13,265.0429324241122
14,1095.2068303696578
15,-3546.5347736423137
16,3060.5401142622577
17,-4044.073502303101
18,-133.2499726525275
19,-584.1285152741475
20,1525.0923103881069
21,-4246.797076032264
22,980.4205106238369
23,1231.3383557552006
24,1636.0068010560935
25,5904.625366439694
26,1570.264238634496
27,3431.9227555829566
28,-1566.1954666197998
