,0
0,-1964.4699436104856
1,28.794044752023183
2,-3562.1857506358065
3,1311.310569860856
4,-1817.460072905058
5,-1351.8258476911578
6,-3636.6396692907438
7,-1264.2373308758251
8,511.66102992440574
9,1156.0832926017465
10,-340.8931948527461
11,-4541.317041173112
12,2828.7407571144868
13,-2893.558944206219
14,247.41824195813388
15,3928.9715900974115
16,-1532.0074231614126
17,3383.848506240989
18,-1469.111295111361
19,378.5793156760046
20,5851.180495256442
21,-1173.7504897860344
22,-4654.203483933932
23,3472.0772266515996
24,1682.5980397745734
25,-2619.428530067671
26,-3449.77972250164
27,-2934.2993389031617
28,2149.0893299632007
