,0
0,-1385.6985726987477
1,2830.1911764419638
2,-12071.49076246738
3,-10919.554292095243
4,-1666.1992352517555
5,-2569.8923648911295
6,2174.767630513408
7,-2123.2321548927575
8,-5260.0176061592065
9,28.08274475869257
10,3049.71503337787
11,895.4840853755595
12,5388.870858582202
13,-3167.8886286944617
14,7944.137953990139
15,5396.916382116964
16,7745.398043245776
17,-3499.1588113900507
18,1267.8416572358692
19,5566.755761638284
20,4929.899995975662
21,132.92425609682687
22,-154.24483693379443
23,1595.6973999649053
24,-1733.2379026631825
25,-1538.3360320900101
26,1476.0127913414035
27,5165.454639280681
28,2674.544554620981
