,0
0,-4070.881139308214
1,4744.462065606378
2,3929.247215352254
3,17313.352160343435
4,7366.038199464558
5,-9120.563501133118
6,-11687.259848034708
7,4493.868636194151
8,2255.278139147209
9,-13765.74563821149
10,6304.802216406213
11,-4712.945599481696
12,-16384.957349568373
13,4970.420046943007
14,-12761.538689273177
15,950.8522407240234
16,8316.25090880692
17,-23675.69817277603
18,-6708.324845832773
19,-2095.505360709736
20,-6972.132580163889
21,553.2136567656416
22,11386.55976276542
23,-439.68724681343883
24,914.2711592838168
25,-2618.072726502549
26,-798.245454239659
27,-718.3936954238452
28,-3540.495529816486
