,0
0,994176.6220360041
1,991595.1179322862
2,988907.8561909939
3,979499.6420276138
4,980653.0181176711
5,974334.7485167384
6,965529.3682384882
7,959627.3729950163
8,958873.7692843176
9,961083.4644975051
10,956928.4928039067
11,960255.4547612447
12,947130.5049519503
13,951250.4574597557
14,945016.9294144893
15,946144.4237570645
16,955851.2012727319
17,950923.9786439721
18,958270.5305686085
19,954646.344156477
20,955934.8354184176
21,966453.8090662934
22,964644.844617854
23,956562.477777693
24,962618.0706769421
25,965418.392592222
26,960755.4120893505
27,957366.420878232
28,953432.5394019211
29,955077.0854047105
