,0
0,1031984.8445475787
1,1033885.313895751
2,1041590.0045708602
3,1023336.8091261517
4,1017661.66821905
5,1029162.5065268407
6,1042388.3937095894
7,1051998.82834724
8,1062185.2859348217
9,1057917.741804079
10,1057606.7610001347
11,1053766.2562090538
12,1065273.1855161535
13,1070777.444274397
14,1072691.5737735974
15,1075756.8995895362
16,1079131.0988336683
17,1075698.8789808692
18,1079888.6966149944
19,1074951.7291608504
20,1073714.6159482875
21,1076826.5891746643
22,1077961.1977862003
23,1073112.1511138536
24,1078293.1081251742
25,1085526.033321816
26,1082795.5851173121
27,1086056.5441224705
28,1086675.2414734224
29,1083851.2158169162
