,0
0,1083851.2158169162
1,1081986.6736448715
2,1083778.445205627
3,1085514.640889411
4,1091506.1711398365
5,1093934.0888554577
6,1096387.036908197
7,1095314.8088603844
8,1100060.2983291433
9,1097186.3028679972
10,1094636.0915297978
11,1099290.002727402
12,1091338.716858362
13,1083784.7928508664
14,1084757.9958346805
15,1079152.7311952587
16,1079306.045860768
17,1076974.039847053
18,1083539.5430396814
19,1080540.9403574208
20,1077708.4389375667
21,1083544.140828013
22,1097128.7602952486
23,1116488.4776795288
24,1112561.2685321348
25,1108579.673876919
26,1084958.7271852526
27,1089885.1788688898
28,1073619.6055993824
29,1077239.7873791575
