,0
0,1000000.0
1,1000361.6790928423
2,1000344.8655426174
3,1000770.8812882795
4,1001199.8250476966
5,1001124.151626757
6,1000468.8878679122
7,1000982.0626819263
8,1001086.447870665
9,999563.1546487412
10,999458.3356849167
11,1002657.9764617123
12,999107.3204418826
13,995304.949239118
14,1001684.0808023838
15,997452.5341398271
16,993132.225049864
17,991306.1675483529
18,990410.3518085312
19,983180.8801057087
20,981395.6893919128
21,985250.4568929253
22,994875.0297461674
23,985841.7512928704
24,986641.6735711036
25,990930.3889031903
26,993729.6728413358
27,999743.7727420367
28,999700.5336409382
29,994176.6220360041
