,0
0,313.7046872191131
1,124.58904686640017
2,643.3742394295987
3,-298.2546113351127
4,303.1482226472581
5,80.0590368763078
6,-535.9681734839687
7,1080.0375423160149
8,1306.0760064055212
9,-593.0379668382229
10,-1227.5107558978489
11,45.895429003750905
12,-1635.2936746275518
13,2704.532179563772
14,1007.4370974481571
15,-523.8725976299029
16,98.6503074944485
17,1737.6148625841597
18,-5272.20457495295
19,-1077.187538574217
20,1817.3517716501374
21,-1447.6345278087538
22,-3313.8352515646257
23,-1315.176293550292
24,-4585.552918723319
25,-5634.4946460051
26,-1459.0186744745588
27,-700.6892937931698
28,-3613.5725356631447
