,0
0,1001552.7011211135
1,1001863.5734358827
2,1000823.7515026421
3,994554.727889387
4,994901.8190149174
5,991213.7473759232
6,984564.6399073828
7,981437.4016593521
8,978468.9037505849
9,980625.5227665948
10,975666.6617608637
11,979588.7687647282
12,972540.5301667955
13,973529.5233263267
14,970864.7640049682
15,969891.5491409693
16,976321.0202393059
17,973073.633136854
18,976540.0511415785
19,973099.7046074654
20,971501.9595718491
21,977873.4655145151
22,977805.2522817291
23,971173.9006921689
24,975460.307336251
25,977544.412272977
26,972618.1784416522
27,969282.7182929701
28,967191.8273364564
29,970164.2589647345
