,0
0,-3777.6315551863518
1,7728.563656351762
2,-3500.9392835021717
3,6118.140437651309
4,-4932.728349566809
5,-7861.924775414984
6,7282.54780984635
7,-5394.574220211129
8,-1421.8160052467138
9,9716.19031981437
10,289.17997744947206
11,-5140.935469553806
12,151.8565285957884
13,-2804.8402914069593
14,14220.819666580297
15,13466.692006803118
16,6296.36266112444
17,3166.1337776908185
18,7437.43021377502
19,5196.45548169571
20,-12136.311661983607
21,1652.422943830723
22,1639.2082309171092
23,-8722.564169036457
24,2339.672889153706
25,-4067.4085843183566
26,-1052.5643494348042
27,-1832.6739985570312
28,-29.808398810913786
