,0
0,983837.7071794678
1,983042.1687661464
2,989678.6942365548
3,993912.9736845538
4,992278.3410764317
5,992227.1600276339
6,997806.2897469837
7,992104.6634417264
8,991541.1036939461
9,992886.6063385764
10,992008.9184179264
11,992825.948719168
12,1001239.8741038479
13,1004822.8914177357
14,1007478.2577488585
15,1013780.5565096326
16,1011730.5902141179
17,1006799.949820188
18,1008166.7597118719
19,1008246.9782954531
20,1016716.7067109032
21,1015322.4504316186
22,1010512.9881306927
23,1018062.2217641514
24,1024145.2492988211
25,1026334.2610719161
26,1026254.0363544112
27,1025169.4372181037
28,1019958.1640492423
29,1019738.6307899053
