,0
0,7275.491628094111
1,1040.6887914987747
2,-5934.813492337475
3,14098.176399079384
4,-7311.298223436577
5,-6195.176621354418
6,2766.1493837654125
7,-14821.143034091918
8,3555.4878191775642
9,-2421.1342324968427
10,4741.015627278248
11,3674.2741248097736
12,205.55867023416795
13,7576.971336479299
14,-1296.7520677370485
15,-1687.624589375686
16,-1927.6726055359468
17,2197.7888988023624
18,-6451.943278596038
19,453.45796514255926
20,1087.565326782642
21,-1993.9974225172773
22,1424.4799911407754
23,1887.3193355803378
24,1856.2308167123701
25,614.1141825793311
26,-5182.6169158297125
27,-367.71341362735257
28,3802.1172853850294
