,0
0,1156106.033585845
1,1163114.2206355091
2,1164154.909427008
3,1158220.0959346704
4,1172318.2723337498
5,1165006.9741103132
6,1158811.7974889588
7,1161577.9468727242
8,1146756.8038386323
9,1150312.2916578099
10,1147891.157425313
11,1152632.1730525913
12,1156306.447177401
13,1156512.0058476352
14,1164088.9771841145
15,1162792.2251163775
16,1161104.6005270018
17,1159176.9279214658
18,1161374.7168202682
19,1154922.7735416722
20,1155376.2315068147
21,1156463.7968335974
22,1154469.79941108
23,1155894.2794022209
24,1157781.5987378012
25,1159637.8295545136
26,1160251.943737093
27,1155069.3268212632
28,1154701.6134076358
29,1158503.7306930209
