,0
0,1070956.4824471176
1,1077191.9547671252
2,1084094.1760023274
3,1083109.4741750893
4,1084049.979382117
5,1084517.3491673125
6,1085125.9266349052
7,1090039.4509285996
8,1086315.851540516
9,1082318.758479597
10,1084713.880535755
11,1087364.9781399942
12,1092550.1284868983
13,1093257.8889796524
14,1095890.439532019
15,1098465.7173620975
16,1103848.4048388416
17,1102760.7657152007
18,1095547.0161764165
19,1096639.6959051457
20,1101737.626658888
21,1104855.2568199057
22,1103213.6703273994
23,1103712.5303557855
24,1108047.3432372618
25,1108642.7785248999
26,1106366.0871135588
27,1103858.7659692084
28,1108447.1083872155
29,1111831.9579534312
