,0
0,496.7177275826689
1,1057.8995262224926
2,1309.259663966368
3,-1202.6704321596771
4,272.83034628187306
5,1837.9501726533053
6,-3139.358857839601
7,258.2858877364779
8,672.2507755397819
9,558.3732734271325
10,-1659.484681099304
11,9282.26327881671
12,1999.116943184752
13,-58.7271685131127
14,2874.4378226884874
15,2381.1435513780452
16,-8073.306266523199
17,-1363.9097411698895
18,-1201.8816547676688
19,10807.689432775485
20,-1641.5308535746299
21,-9554.059818669222
22,3638.537988754222
23,1888.8565939646214
24,5742.2525680538965
25,5156.916538479272
26,5248.118659735308
27,-13133.468831353704
28,1318.408376176143
