,0
0,1190910.773539785
1,1199253.850578826
2,1199667.319345574
3,1201038.2462586698
4,1201282.4247937575
5,1200521.1402499103
6,1203838.9714125225
7,1201341.2640708876
8,1202374.4163592528
9,1203249.9061313188
10,1205780.2422876088
11,1205219.9554769064
12,1204772.3163859402
13,1205470.8550012575
14,1206352.7509599167
15,1204817.4690095063
16,1202977.870953916
17,1195079.5294711299
18,1195417.4685620975
19,1199998.4524107152
20,1198630.2627853444
21,1201712.9604819599
22,1195326.2760605402
23,1196251.3396577812
24,1196861.037816003
25,1200772.5904485218
26,1200743.7823633878
27,1200335.5608152072
28,1202882.4891765655
29,1202375.3970903184
