,0
0,1067069.3321028927
1,1063560.9126032547
2,1066640.2053697198
3,1071811.1216855464
4,1068450.2777735454
5,1063690.4340411979
6,1061965.243773871
7,1072088.2008496814
8,1075365.3365028182
9,1062878.8605378813
10,1053637.4710984814
11,1026850.6576576028
12,1012357.8628846846
13,1023725.9148265659
14,1018763.264524871
15,1015082.9648133407
16,1010619.2549701438
17,1014798.3149026894
18,1019978.0274612044
19,1012735.0400224212
20,1015841.2713201597
21,1019824.0479191176
22,1020786.5379752528
23,1018784.5519195355
24,1012701.0136573737
25,1016557.3383615857
26,1018612.7052790935
27,1020705.6131759824
28,1034867.9552219646
29,1034139.5481048006
