,0
0,8727.077175738174
1,11368.375001325738
2,10585.256806118996
3,-1000.7763141439063
4,-2356.8730862869415
5,10963.58548465313
6,-11130.172079919721
7,-1847.6734317721566
8,-65.71625087538268
9,-7866.355459227925
10,4885.828625743976
11,17563.8096772281
12,8726.030697925366
13,11286.325028844527
14,17389.67222708545
15,-857.8759647683473
16,-15321.71566891484
17,1062.5658644528594
18,6349.727767538861
19,12514.253457641811
20,-5234.884925646475
21,-8000.291096769157
22,18008.695661479258
23,14201.50199982454
24,1539.264856942813
25,480.24503576243296
26,-263.40863271348644
27,-20091.3910120019
28,-2486.6093815572094
