,0
0,2182.9704502273817
1,11119.81478864397
2,-30234.640743084252
3,-10820.166594130453
4,17125.039271419286
5,11029.583915821859
6,7792.092557011987
7,8601.451321450644
8,-6386.043939804542
9,6705.954196436098
10,1861.7308269249042
11,11255.479350775597
12,1637.5041639279807
13,4481.624477753998
14,-5088.509448273457
15,4096.718269818695
16,2937.7905315713724
17,2156.8915731725283
18,-5339.326942756539
19,9964.728566864971
20,3474.8449870282784
21,3158.6158086382784
22,1422.400457966607
23,-3740.3269221382216
24,11166.77107960917
25,1739.7582910822239
26,7275.580265761353
27,7670.70664186147
28,-3298.680042464519
