,0
0,973061.5796590036
1,969627.6179714891
2,970284.4463667066
3,960838.1738120698
4,944503.3659584989
5,943490.2870867662
6,939045.1246014996
7,942515.090316007
8,939009.5662342793
9,933404.9015259999
10,934600.3063031264
11,939508.5079939119
12,939627.0104208204
13,944261.7435406481
14,938401.89637333
15,951148.8737095167
16,959425.5932249035
17,967885.3259161443
18,964254.1494919439
19,968476.2805754567
20,975043.3400484547
21,972655.8352903746
22,973323.9933591889
23,973942.2065840464
24,976602.3948639303
25,974992.4695924522
26,971961.536813993
27,973839.8326878174
28,976711.6023492338
29,977184.5892024153
