,0
0,3475.9018876194023
1,-207.5140395888593
2,1140.9753302524332
3,2277.850290150149
4,-1320.792824726086
5,5988.497843513498
6,-4673.64184539346
7,2536.9265170474537
8,836.3555548158474
9,3417.798354143277
10,-1154.9249056673143
11,-1380.0724812150002
12,604.4367122880649
13,5137.930858807871
14,-1715.782791136764
15,-3544.3753552976996
16,-15418.263271891745
17,1147.8142301620683
18,6239.371972786612
19,-186.91708438913338
20,5324.80356261367
21,-8538.131887816591
22,2388.5941487031523
23,2304.5318552702665
24,7995.441671752371
25,2392.373465446057
26,912.0981013739947
27,2802.098179995315
28,-2186.753026572522
