,0
0,1106525.224852993
1,1110043.5330665826
2,1115084.5863877533
3,1107890.3970700148
4,1121259.029554358
5,1127338.4561777874
6,1124813.9280801546
7,1131607.1638187892
8,1132923.6711739234
9,1131946.7448774674
10,1133573.5342989084
11,1137092.1914352542
12,1138935.9722502728
13,1142278.2859999102
14,1148039.7948272552
15,1154652.9651438452
16,1152057.7863538542
17,1153923.2669536916
18,1154245.660704912
19,1151888.3958363603
20,1151647.9417427592
21,1153104.4959219114
22,1163776.2223657772
23,1163385.5423526021
24,1167954.7032600404
25,1161708.6127351434
26,1168551.9838378623
27,1163182.418769084
28,1154646.0799980927
29,1156106.033585845
