,0
0,1000000.0
1,1000108.1431
2,1000132.0011867529
3,999444.7197285008
4,999251.0523305809
5,998374.2324573728
6,997867.4927454497
7,997448.5800411539
8,996005.148151132
9,996328.0057402662
10,996983.4456020717
11,993085.5441169034
12,994889.5366291266
13,992958.3708097092
14,992740.2406310149
15,993524.9758316617
16,995541.4043383037
17,997967.7076428517
18,993523.9359716021
19,993737.1282924896
20,991810.0037970766
21,993526.7230969913
22,993549.8944043599
23,995060.3118994911
24,998487.9472426254
25,998494.3441390486
26,994581.6774439653
27,995697.9888783298
28,996261.0784641309
29,995106.0665945124
30,989093.7260709589
31,988304.97172808
32,987296.7475573381
33,984253.4102693852
34,982283.1201734401
35,985613.9439280878
36,983529.5507950741
37,981423.575683071
38,980761.5993832538
39,973273.8316060046
40,973846.4609742742
41,978925.1309702008
42,974847.6397658526
43,975931.3102161092
44,971247.5817380219
45,980530.8301663673
46,982110.0805539449
47,988431.9479588307
48,990908.4777828533
49,989885.9217633964
50,991985.949426053
51,1001045.8347432483
52,1007365.9599018749
53,1003589.0150962853
54,1018782.3738490023
55,1009142.4205532422
56,1010366.0622045619
57,1017339.6555939226
58,1008480.8722827667
59,996053.0167056646
60,1002482.9648514318
61,1009151.6416956759
62,1020680.8338333645
63,1019650.4842322057
64,1008218.8864639569
65,1004494.291370512
66,1006046.4543144442
67,1018045.0975403069
68,1027478.2414297252
69,1023607.3321401803
70,1026155.4769536245
71,1024306.1215827365
72,1019238.5770660299
73,1009518.3036402031
74,1014251.3871177763
75,1013324.1991769639
76,1022946.9432388791
77,1028727.7111399265
78,1021592.3770675801
79,1019231.6577129022
80,1028613.4105683621
81,1032399.3602579869
82,1035210.2706614359
83,1053023.1299417322
84,1049938.8496172763
85,1057683.8106405204
86,1050651.880838745
87,1064393.8724030848
88,1055859.6293519293
89,1058484.7527100176
90,1045867.4323502119
91,1049778.4744594458
92,1046860.3671540994
93,1060221.04180258
94,1066868.012459686
95,1069991.6402495967
96,1067005.8813392716
97,1070485.957911994
98,1075298.095139646
99,1071591.1614698374
100,1080237.1307551116
101,1090566.0831990498
102,1100231.4612870929
103,1102530.9927818836
104,1088190.8763283426
105,1093731.9860091656
106,1088337.98294143
107,1086695.8122955556
108,1091130.7302812354
109,1092737.1723898826
110,1099328.8454459764
111,1096607.017757424
112,1082500.46417092
113,1078350.1687657053
114,1077114.6586191207
115,1074746.153178712
116,1079525.7602800457
117,1065705.8189136651
118,1063022.84138997
119,1065222.6527865923
120,1076105.793196116
121,1076354.19815503
122,1079742.1159989946
123,1074710.169950321
124,1081402.4537250951
125,1067952.7108575762
126,1066712.8130314955
127,1056592.1928605866
128,1053807.3469390224
129,1058753.9150018983
130,1053614.64886924
131,1060622.3858583942
132,1064598.3573727056
133,1083244.9709649624
134,1086746.3644277495
135,1087019.3113976505
136,1099621.2197596557
137,1100110.7550718249
138,1100505.2579057864
139,1110420.8236900198
140,1112138.7292823037
141,1113233.7725067306
142,1111071.6993817159
143,1106922.1578844588
144,1115811.1902001791
145,1120301.4841308538
146,1131819.7755451237
147,1130374.2962860041
148,1128088.4606917626
149,1123843.3916997716
150,1126554.5953578118
151,1123031.9298472076
152,1117780.9891641405
153,1122250.0967648984
154,1129416.2786142654
155,1125339.5782615803
156,1110023.6741958857
157,1117755.6407374623
158,1119383.7941991508
159,1125902.5362642794
160,1132793.156452737
161,1132671.981124225
162,1135913.3451064397
163,1133617.378464235
164,1135757.5972299012
165,1134507.787262017
166,1128980.1240676977
167,1118038.0613211908
168,1119986.878166556
169,1125714.722003314
170,1133432.9962073988
171,1143376.3427829866
172,1147018.220765262
173,1153023.911990053
174,1152875.7749933966
175,1153206.687110541
176,1154852.0810622848
177,1164866.4254392134
178,1162084.4723500344
179,1161812.1737031275
180,1158253.9431534265
181,1164486.7299642104
182,1159394.7754509249
183,1150835.9773556194
184,1150083.7818434122
185,1155928.3222567935
186,1155897.5928069537
187,1158731.6026335987
188,1143276.5205258266
189,1139982.5139677858
190,1149061.7915862985
191,1156864.7971038348
192,1158723.1716890726
193,1166446.0595603841
194,1166401.6863575983
195,1169071.885201355
196,1170270.8337989196
197,1184045.9860952366
198,1184963.6810866697
199,1176653.6133044148
200,1186098.2373886495
201,1180148.866163922
202,1179593.9131313162
203,1183631.3956311147
204,1175791.4163430403
205,1168135.9042281401
206,1161658.1470612395
207,1141707.7589569408
208,1162263.546332339
209,1142042.7202575994
210,1148703.9482905136
211,1148909.6925459977
212,1155043.796839281
213,1164867.1116028554
214,1165369.1261164856
215,1183567.4596255706
216,1181185.5273069113
217,1183635.9152428862
218,1173483.802466213
219,1181944.8149173786
220,1192405.2100209752
221,1191002.4495396274
222,1189150.9902935226
223,1178189.9867210446
224,1175064.2471976485
225,1185226.798685639
226,1182415.9064400685
227,1191730.229324758
228,1172007.4796076948
229,1174631.8415611372
230,1190766.2398684018
231,1192901.9305137785
