,0
0,1135.4598891767673
1,7912.488203678979
2,-15635.980002711993
3,-2441.2310181093635
4,10149.153881984414
5,10969.571011611144
6,11396.099375244696
7,15632.811568519915
8,1294.0361029144842
9,1982.6263764381874
10,-6414.819323589327
11,12560.85679845512
12,1149.534902756568
13,-5088.5511803543195
14,6836.347059510415
15,-2554.561021631118
16,-5497.194589642342
17,711.3184088754933
18,-2496.9007602210622
19,-7932.7038337897975
20,7044.513960115379
21,-2498.931147325551
22,-4192.377893100958
23,3933.0804037735797
24,17155.386649231892
25,-3813.637237038929
26,6842.394459166564
27,-2520.2998677089345
28,-408.6437846152112
