,0
0,1107802.9912595463
1,1112041.49315586
2,1114563.1228569855
3,1109394.9213929276
4,1122182.6352003992
5,1120008.0805233298
6,1117409.3728958797
7,1119822.8609182343
8,1109325.4509721445
9,1111590.3524882612
10,1111470.4673441683
11,1113666.2315502781
12,1115797.289526786
13,1117224.562920342
14,1121129.1119150647
15,1120073.319013544
16,1118518.1810850734
17,1117933.6354496744
18,1118901.9960488267
19,1114749.6161663746
20,1115222.2627729035
21,1115362.1944392787
22,1114304.3053237335
23,1115414.8929780764
24,1115763.1127667627
25,1114967.851618055
26,1118150.2690966406
27,1114270.1074560652
28,1112435.7614293653
29,1116994.1405992054
